j,b,r,t,g,I,alpha,beta,epsilon,gamma
1,4.37E-02,1,-0.5,0,0,,,,
2,6.71E-01,1,0.5,0,0,,,,
3,-1.77E+00,1,1,0,0,,,,
4,8.58E-01,2,0.5,0,0,,,,
5,-1.21E+00,2,1,0,0,,,,
6,5.12E-01,2,1.5,0,0,,,,
7,-4.00E-04,2,4.5,0,0,,,,
8,-1.25E-02,3,0,0,0,,,,
9,3.10E-02,4,1,0,0,,,,
10,1.75E-03,4,3,0,0,,,,
11,-3.17E-06,8,1,0,0,,,,
12,-2.24E-06,9,3,0,0,,,,
13,2.95E-07,10,3,0,0,,,,
14,1.83E-01,1,0,-1,1,,,,
15,1.51E-01,1,1,-1,1,,,,
16,-4.29E-01,1,2,-1,1,,,,
17,6.89E-02,2,0,-1,1,,,,
18,-1.41E-02,4,0,-1,1,,,,
19,-3.06E-02,5,2,-1,1,,,,
20,-2.97E-02,6,2,-1,1,,,,
21,-1.93E-02,1,5,-1,2,,,,
22,-1.11E-01,2,5,-1,2,,,,
23,9.95E-02,3,5,-1,2,,,,
24,8.55E-03,4,2,-1,2,,,,
25,-6.15E-02,4,4,-1,2,,,,
26,-4.29E-02,3,12,-1,3,,,,
27,-1.81E-02,5,8,-1,3,,,,
28,3.45E-02,5,10,-1,3,,,,
29,-2.39E-03,8,10,-1,3,,,,
30,-1.16E-02,2,10,-1,4,,,,
31,6.64E-02,3,14,-1,4,,,,
32,-2.37E-02,4,12,-1,4,,,,
33,-3.96E-02,4,18,-1,4,,,,
34,-1.39E-02,4,22,-1,4,,,,
35,3.39E-02,5,18,-1,4,,,,
36,-2.93E-03,6,14,-1,4,,,,
37,9.32E-05,2,2,,,-20,-200,1,1.07
38,-6.29E+00,0,0,,,-40,-250,1,1.11
39,1.27E+01,0,1,,,-40,-250,1,1.11
40,-6.42E+00,0,2,,,-40,-250,1,1.11
